system:index,MAP,MAT,areaHa,aspect,class,elev,lat,long,precip,precip_drymo,precip_wetmo,sharedlat,sharedlong,slope,soil,.geo
541,1184.2713175928327,224.9170037087345,21.809569216311402,196.3656537598633,1.0,656.0191083774666,-18.8103537022959,-44.7826329704064,1203.6332702636719,5.0829962912653945,276.0829962912652,-18.810167327868122,-44.782529197525996,3.0734878893789785,LVd3,
542,1189.742971819248,224.0,19.600430519373713,150.8331944420823,1.0,674.8004727971565,-18.82582463905642,-44.74621491647231,1179.6310272216797,6.0,278.0,-18.825728886266358,-44.74637100602138,1.8128879742852761,LVd3,
543,1184.961781021898,224.0382189781023,11.4206137541374,250.10502189781022,1.0,649.2643795620443,-18.85186538477201,-44.71231742443241,1186.3242077569894,6.0,276.03821897810224,-18.861205681137786,-44.686286381459105,2.197401459854015,LVd3,
544,1185.7690170449748,224.74366098500877,27.646614625764837,141.88137374518323,1.0,663.793612060739,-18.84901161828476,-44.703859257495914,1181.4188633029376,6.0,277.0,-18.861205681137786,-44.686286381459105,1.2595402326620844,CXbd21,
545,1187.0289567303714,224.0,28.217803785554192,276.60033802550566,1.0,662.7288940892813,-18.803197154432898,-44.753486744344684,1203.2857570236333,6.0,279.01447836518565,-18.80296794259638,-44.75343741311346,2.769575340684796,LVd3,
6351,1233.5868549007832,217.0412638218786,17.805626497561548,153.5280192239097,2.0,813.1593857360092,-18.681808216197446,-44.79313715752823,1181.448715209961,5.0,280.21086225993577,-18.66858914373384,-44.78175585109166,6.247113597536935,CXbd18,
6243,1174.0,227.0,8.653330137774123,122.68176561295293,2.0,622.1249421742481,-18.721857144443746,-44.82210739423327,1197.4334106445312,4.0,274.0,-18.70686004869963,-44.84133482949036,0.9762143407864302,LVd3,
546,1171.0,228.0,12.603305876198304,309.92376764760434,1.0,610.0685508436416,-18.730737666397296,-44.8134519601919,1197.4334106445312,5.0,275.0,-18.70686004869963,-44.84133482949036,1.5587370540089531,LVd3,
547,1173.5462130382155,227.0,15.432850028513913,160.31994639460493,1.0,626.2295737506486,-18.70677316772381,-44.83788421363853,1197.4334106445312,4.0,272.0,-18.70686004869963,-44.84133482949036,1.0300881895210101,LVd3,
548,1180.4131303632307,225.74323106461347,17.05069218697738,112.78121938795506,1.0,657.9221033658558,-18.69747985383224,-44.84077883412027,1200.6066876791813,4.264017867638415,273.2541240547001,-18.70686004869963,-44.84133482949036,2.8507699541554024,LVd3,
549,1176.518189777497,226.16064366150417,22.107221313331298,110.356685686683,1.0,637.940449234671,-18.698011817062415,-44.83651200197425,1200.1235364387567,4.0,272.83941671950026,-18.70686004869963,-44.84133482949036,2.262446034477554,LVd3,
